id,price
0,15252.14
1,15171.17
2,14538.5
3,18328.92
4,6402.14
5,16702.61
6,7000.61
7,8963.93
8,8185.09
9,8393.65
10,11236.59
11,12404.01
12,20567.84
13,5511.25
14,17353.39
15,4294.09
16,16261.18
17,8611.23
18,5870.52
19,8117.45
20,10636.64
21,13636.16
22,9099.99
23,15292.58
24,18406.77
25,8726.27
26,12839.88
27,13757.02
28,7474.19
29,14350.69
30,15127.36
31,15239.91
32,9722.25
33,17502.69
34,19331.56
35,6183.39
36,14123.92
37,17702.85
38,12659.19
39,9073.63
40,12765.51
41,12325.14
42,16760.64
43,17868.37
44,15605.13
45,16131.26
46,13053.32
47,8492.34
48,5875.01
49,10198.01
50,9881.73
51,10916.17
52,8282.55
53,13026.03
54,13840.86
55,22922.85
56,11318.13
57,7054.76
58,6246.75
59,8285.77
60,7750.46
61,18806.66
62,5735.21
63,15348.8
64,10239.18333
65,14237.3
66,15581.69
67,9843.2
68,8258.99
69,2321.36
70,13116.92
71,16806.33
72,16373.5
73,9810.74
74,17931.87
75,13149.42
76,10628.14
77,12376.63
78,9612.48
79,11752.13
80,16599.18
81,11410.87
82,7603.65
83,3789.53
84,13622.97
85,6790.39
86,10521.65
87,7403.61
88,19023.45
89,15093.87
90,7587.85
91,6795.16
92,9824.574167
93,9294.87
94,9535.66
95,22024.83
96,7522.42
97,9132.36
98,8915.01
99,11183.18
100,21644.44
101,10697.48
102,10540.24
103,11940.85
104,16661.2
105,12663.65
106,9454.98
107,15504.15
108,7566.52
109,8318.46
110,8430.62
111,11707.77
112,11001.09
113,14845.38
114,10499.27
115,6182.77
116,8494.39
117,7401.09
118,9056.73
119,8929.53
120,17431.13
121,10435.79
122,8127.97
123,17700.7
124,10040.63
125,11431.7
126,17209.3
127,16833.93
128,23570.95
129,9541.82
130,11973.63
131,10376.28
132,10788.9
133,8358.93
134,16969.49
135,17794.15
136,14487.36
137,11084.36
138,12371.62
139,15853.66
140,12924.85
141,16118.14
142,22369.18
143,9542.556905
144,9740.483333
145,11181.64
146,12907.6
147,11831.69
148,10653.85
149,5924.09
150,15096.56
151,15420.22
152,15677.45
153,6920.26
154,8006.434643
155,10249.7225
156,11186.63
157,13071.35
158,8941.915
159,13960.82
160,14835.56
161,15317.25
162,4517.73
163,10739.54
164,14432.27
165,7962
166,18056.08
167,11271.95
168,7802.050714
169,20465.96
170,7230.78
171,11985.45
172,11835.61
173,10338.31
174,7936.5325
175,32354.47
176,12945.54
177,14019.46
178,10338.35
179,9585.18
180,8572.07
181,8415.61
182,7855.49
183,15473.13
184,16436.98
185,15885.06
186,10055.22
187,17377.67
188,10001.2
189,11723.45
190,17125.08
191,8579.64
192,5727.53
193,17642.85
194,9929.79
195,18464.91
196,15889.45
197,9650.36
198,24376.11
199,14877.22
200,19964.61
201,15423.65
202,7698.42
203,7859.73
204,9980.82
205,7784.55
206,17129.48
207,16757.03
208,12036.74
209,9507.32
210,14654.69
211,12037.16
212,13702.62
213,14149.83
214,13233.47
215,18226.71
216,9565.58
217,9252.4
218,12347.56
219,8787.63
220,20446.62
221,14510.02
222,18811.24
223,14610.78
224,12040.98
225,16058.57
226,14179.7
227,12636.42
228,12006.19
229,15114.24
230,16806.33
231,8701.39
232,9851.9
233,16816.88
234,26530.74
235,14687.75
236,2677.3
237,10080.14
238,12288.97
239,16566.86
240,16571.84
241,9977.5
242,12227.22
243,2689.05
244,5255.81
245,14141.07
246,11143.3
247,6972.74
248,9033.63
249,6892.86
250,5350.48
251,8474.33
252,12621.99
253,8813
254,15071.36
255,9497.51
256,19304.28
257,21702.51
258,8393.65
259,18230.89
260,11382.54
261,6333.03
262,15564.21
263,9785.75
264,11853.59
265,18779
266,9584.55
267,13533.38
268,10683.18
269,9639.98
270,13797.74
271,23188.3
272,9986.02
273,8541.02
274,12330.33
275,9772.271667
276,7217.1
277,18127.34
278,18491.92
279,11237.99
280,11638.52
281,12931.85
282,16040.39
283,9761.17
284,10292.74
285,16841.36
286,13630.6
287,7399.9
288,12245.99
289,15103.08
290,9816.96
291,6864.27
292,8114.48
293,9630.91
294,12053.15
295,8517.3
296,23560.8
297,15404.92
298,11678.89
299,8834.02
300,6848.24
301,17559.16167
302,8533.97
303,11280.56
304,15105.23
305,17479.01
306,11835.32
307,6498.3
308,11326.09
309,9273.52
310,9553.22
311,15337.09
312,17921
313,9749.73
314,10089.49
315,10954.17
316,12645.01
317,12572.36
318,9555.93
319,12660.91
320,6019.11
321,10649.68
322,8624.73
323,6217.9
324,12629.46
325,6126.64
326,14520.9
327,8069.48
328,18155.64
329,8769.99
330,17203.04
331,15540.76
332,16103.26
333,10801.47
334,10659.49
335,7942.57
336,8752.06
337,17925.64
338,10841.57
339,11375.14
340,32643.33
341,7302.05
342,10798.91
343,9546.066905
344,7909
345,4738.37
346,25966.96
347,8411.84
348,2718.14
349,5640.83
350,9867.58
351,7741.33
352,11505.07
353,13195.8
354,23218.78
355,9392.19
356,7863.4
357,10266.12
358,7491.05
359,7450.17
360,11333.82
361,18780
362,10887.41
363,8458.7
364,10479.22
365,12904.06
366,12840.1
367,11904.88
368,10308.96
369,9332.088333
370,5014.15
371,17485.61
372,8506.09
373,10090.18
374,20152.54
375,10580.09
376,3517.32
377,9917.05
378,16695.34
379,9853.34
380,13833.58
381,22817.51
382,14315.51
383,12595.49
384,9040.11
385,18130.16
386,2901.5
387,3193.52
388,19393.29
389,14023.96
390,8797.91
391,12504.8
392,26129.13
393,3637.72
394,11886.83
395,12849.98
396,10433.81
397,9267.9
398,1820.2
399,14141.07
400,16112
401,14923.11
402,5377.12
403,11906.99
404,5971.02
405,17834.04
406,10168.26
407,12360.99
408,11387.46
409,11808.6
410,9997.33
411,16129.44
412,9097.63
413,8719.76
414,11320.49
415,18863.17
416,10799.09
417,10302.32
418,9533.48
419,7016.33
420,20107.22
421,8141.43
422,11238.7
423,10810.968
424,20796.4
425,18600.82
426,7799.4
427,16316.78
428,12013.2
429,8112.83
430,10073.61
431,11511.68
432,14196.31
433,10641.29333
434,8777.23
435,21170.41
436,9782.22
437,17466.94
438,8325.27
439,15426.87
440,15578.92
441,8701.28
442,12837.19
443,9215.13
444,7908.39
445,13718.08
446,16715.31
447,9699.69
448,15093.34
449,21780.9
450,10897.1
451,7725.1
452,19192.38
453,11749.48
454,5066.9
455,6179.18
456,7405.44
457,29787.67
458,10486.87
459,2800.28
460,14537.21
461,11081.14
462,4110.9
463,9801.15
464,11913.48
465,14762.32
466,11371.13
467,15433.68
468,9346.26
469,3971.66
470,7233.96
471,8682.33
472,16830.79
473,10137.49
474,9245.79
475,10309.36
476,19728.75
477,7588.55
478,7934.16
479,17007.08
480,16534.98
481,9549.98
482,9326.5
483,10068.16
484,15336.84
485,12488.6
486,18135.82
487,6856.17
488,9496.65
489,13112.32
490,7302.91
491,16662.5
492,10347.16
493,10195.19
494,10797.87
495,11629.5
496,17741.11
497,8541.63
498,7119.42
499,15013.91
500,18611.55
501,17824.105
502,11086.72
503,6525.48
504,14889.4
505,11445.75
506,12881.38
507,4515.73
508,15434.74
509,6214.33
510,15692.41
511,10317.43
512,11176.06
513,9301.04
514,10365.86
515,11569.52
516,6848.29
517,5774.73
518,7630.53
519,12244.71
520,16714.5
521,10869.34
522,10483.35
523,15376.02
524,8952.9
525,10652.18
526,17101.45
527,14505.84
528,9584.93
529,9483.35
530,11864.69
531,8541.02
532,11838.87
533,7130.05
534,8607.97
535,18999.33
536,5121.57
537,15385.18
538,6652.72
539,11320.85
540,17635.43
541,8265.99
542,16708.82
543,6769.95
544,11146.55
545,8255.33
546,8572.52
547,14949.93
548,10662.7
549,9896.73
550,10903.5
551,14869.82
552,14046.28
553,15787.42
554,9609.2
555,11434.48
556,8950.66
557,17015.1
558,13841.27
559,13867.98
560,16730.82
561,21144.22
562,12586.28
563,21343.35
564,5070.58
565,10133.29
566,22302.15
567,15345.94
568,13088
569,10014.16
570,16964.82333
571,10219.48
572,8705.68
573,10694.79
574,16561.65
575,12020.48
576,22257.46
577,9510.93
578,15671.79
579,19092.97
580,14354.94
581,4080.07
582,13737.2
583,11139.18
584,10819.38
585,11587.28
586,24295.73
587,8413.44
588,10708.76
589,10173.36
590,9160.18
591,11463.25
592,22924.01
593,13065.71
594,13752.15
595,17543.37
596,10445.64
597,17175.63
598,5354.42
599,9319.83
600,7764.74
601,7848.33
602,6097.6
603,3007.15
604,21514.08
605,11158.65
606,19177.71
607,9208.74
608,7680.25
609,17773.95
610,23094.19
611,22414.78
612,6154.06
613,15487.66
614,8397.01
615,17360.88
616,8168.05
617,8727.78
618,17161.19
619,25833.82
620,6563.89
621,11136.8
622,17893.01
623,16658.91
624,6626.56
625,9425.54
626,13155.05
627,7991.14
628,9514.19
629,21492.13
630,19144.5
631,10391.7
632,13772.85
633,9703.29
634,13206.4
635,5553.22
636,6669.015
637,7939.77
638,17687.62
639,17240.23
640,11102.76
641,13390.49
642,20394.58
643,11830.3
644,10838.83
645,9427.69
646,12790.98
647,6802.3
648,8254.51
649,11267.91
650,10284
651,17044.34
652,9693.01
653,14846.97
654,16065.6
